name|sex|oldName|nation|birthday|political_status|card|tel|address
知乎日报|女|知乎日报|满族|1945-11-06|党员|321282194511061817|18849859649|
Kevin Zhang|男|Kevin Zhang|蒙古族|2012-09-20|团员|530103201209204004|14970377431|北京
威斯特蜀黍|男|威斯特蜀黍|彝族|1934-04-05|群众|411727193404053491|14731249980|澳门特别行政区
虾说|女|虾说|汉族|2012-08-15|团员|150303201208158333|14732923657|
六了个哥|男|六了个哥|瑶族|2007-02-11|党员|371427200702116538|18057698789|
火火大马车|男|火火大马车|哈萨克族|1940-04-21|党员|520402194004210107|13831300484|柳州
高桥树|男|高桥树|满族|1966-02-19|群众|431321196602191286|13468550548|上海
愁飞 王逍瑕|男|愁飞 王逍瑕|藏族|1945-05-10|群众|130604194505105111|14746051103|M78星云
白鹿|女|白鹿|藏族|1961-12-15|团员|110115196112151165|18438939419|
早起吃鱼|女|早起吃鱼|瑶族|1940-06-12|党员|152922194006120258|17595353047|广州
凯瑟琳黛玉|女|凯瑟琳黛玉|壮族|1961-09-18|团员|210111196109189136|17398204217|澳大利亚
孺童|女|孺童|彝族|1976-09-20|群众|512000197609205254|13768321688|
张小野|女|张小野|维吾尔族|1984-06-22|群众|610422198406224216|17763280005|费城
汪惟|男|汪惟|回族|1973-06-27|群众|530602197306279771|14749655115|
黄江舟|男|黄江舟|黎族|1958-05-01|群众|120116195805018731|18027256139|西安
多多洛|女|多多洛|回族|2003-10-30|党员|44011620031030251X|14799532178|
翡柏|女|翡柏|布依族|2005-11-06|群众|440233200511067562|13597088853|
白墨|男|白墨|满族|1962-11-07|党员|140723196211072698|17779568538|马德里
Wenpei|男|Wenpei|黎族|1999-04-22|团员|13092419990422346X|17664607795|美国
灰子|男|灰子|汉族|1995-03-04|党员|330900199503043560|13364946699|杭州
Candy|女|Candy|朝鲜族|2009-03-04|党员|441581200903040658|18213060271|
Unstable Element|男|Unstable Element|哈萨克族|2012-12-04|群众|140000201212049650|18745042342|北京
陆六六|女|陆六六|维吾尔族|1966-07-19|群众|522700196607194753|18696819016|日内瓦
章牧之|男|章牧之|布依族|1977-07-21|团员|611022197707210621|14968714284|北京
Charlie|男|Charlie|白族|1967-08-15|群众|53032419670815758X|17099085867|
简单心理|女|简单心理|侗族|1987-04-08|党员|411082198704087246|18516953337|
完美Excel|男|完美Excel|哈萨克族|1956-06-01|群众|610629195606015728|14915584999|湖北宜昌
林风|男|林风|哈萨克族|1976-10-21|群众|510900197610212539|14762703445|上海 徐汇
戴雨森|男|戴雨森|瑶族|1934-08-03|群众|150825193408039943|15060357511|北京
lush fan|女|lush fan|布依族|1953-06-01|党员|350724195306019348|13994485799|
司马奔腾|男|司马奔腾|朝鲜族|1932-05-10|党员|350123193205109004|13472338024|上海
肉松|女|肉松|汉族|1979-12-26|群众|445322197912260319|13060677678|深圳市
苏菲|女|苏菲|哈尼族|1930-12-23|团员|420804193012230665|17747778205|东京
Wwwttt|男|Wwwttt|朝鲜族|1935-08-28|党员|361002193508280541|18187260304|美国
小黄|女|小黄|哈萨克族|2016-12-18|党员|431025201612187566|14565295285|北京
月儿圆圆|女|月儿圆圆|回族|1952-06-29|党员|450881195206296520|15320376909|
知乎机构号团队|女|知乎机构号团队|蒙古族|1988-03-11|团员|230605198803111622|17295279865|北京
罗心澄|男|罗心澄|回族|2008-04-28|群众|230129200804289442|13823670518|广州
无常|男|无常|白族|1948-12-14|群众|440523194812142672|15616612474|
张浩千|男|张浩千|布依族|1929-06-03|团员|360402192906032523|13167622127|北京大学
董不懂|男|董不懂|蒙古族|1972-04-21|党员|532325197204218679|18037493496|香港
考拉|女|考拉|维吾尔族|1964-10-26|群众|370782196410260467|17787028487|北京
曹峥|女|曹峥|哈萨克族|1957-04-16|群众|341182195704167602|17373387366|
门隔流水|女|门隔流水|朝鲜族|1970-11-19|群众|350400197011196963|18492589593|
落寻|女|落寻|布依族|1958-04-04|群众|51170219580404854X|13724763666|
帕斯卡|男|帕斯卡|维吾尔族|1946-11-16|群众|131081194611167018|13873667001|
剑胆文心姜叫兽|男|剑胆文心姜叫兽|汉族|2011-05-19|党员|220303201105190339|13437058922|Arizona
萌爪医生|女|萌爪医生|藏族|1935-09-08|团员|130633193509080174|18286460012|
大Joe|男|大Joe|满族|1980-10-01|团员|230125198010018952|15728661668|香港
王小白|女|王小白|藏族|1940-02-08|群众|520121194002085608|15669192531|
KellyWeaver|女|KellyWeaver|哈尼族|1929-01-22|团员|533103192901221311|17681080513|München
洪嘉君|男|洪嘉君|蒙古族|1941-03-20|群众|430903194103206084|18295322936|上海
马锐拉|男|马锐拉|白族|2016-04-27|党员|341300201604279599|15211983010|上海
清秋|女|清秋|满族|1974-08-04|群众|440307197408044192|18247577617|
布丁|女|布丁|哈萨克族|1997-03-14|群众|410311199703142914|18041755874|
商无纣|男|商无纣|哈尼族|1954-03-19|群众|63210019540319125X|14752427361|上海
温忘之|女|温忘之|壮族|1963-05-06|群众|430923196305060583|17289970013|北京
方大铜|女|方大铜|哈萨克族|1960-01-14|党员|321023196001145605|14718291361|地球
胡远东|男|胡远东|瑶族|1988-06-13|群众|130283198806134700|15246970512|成都
刘看山|男|刘看山|布依族|1960-03-27|党员|62110019600327009X|18024588479|北京
陈子說|女|陈子說|维吾尔族|1955-10-26|群众|421024195510263576|14544632764|
吴海波|男|吴海波|黎族|2012-05-16|群众|450802201205164019|14729711834|杭州
付云皓|女|付云皓|蒙古族|1994-12-06|群众|532500199412067556|18230207252|
陈佩斯|男|陈佩斯|维吾尔族|1986-09-25|团员|410704198609251333|15789207556|
李建秋|男|李建秋|维吾尔族|1970-01-04|党员|340122197001040826|13323769553|武汉
Justin Lee|男|Justin Lee|彝族|1943-01-24|团员|421000194301244867|18259626961|上海
九色喵|男|九色喵|侗族|1972-02-12|群众|130302197202127895|13828043683|成都
周纯|男|周纯|维吾尔族|2003-01-29|团员|140202200301298578|18672987237|北京
一条|女|一条|彝族|1929-08-11|党员|360403192908116903|13520461645|
诸葛io|女|诸葛io|黎族|2014-12-24|党员|341322201412242976|13165573970|
刘灿|女|刘灿|彝族|1975-09-03|群众|530321197509039383|14514052161|深圳市南山区
刘博|男|刘博|彝族|2003-12-26|团员|469027200312266095|13798855641|
王不留行|女|王不留行|瑶族|1946-12-05|团员|230506194612050479|15656101184|宁夏回族自治区
知科技|女|知科技|瑶族|1965-01-18|党员|411721196501186355|15664567229|
一只鱼的传说|男|一只鱼的传说|蒙古族|1930-08-31|团员|610621193008318024|13826014174|北京市
狗子|男|狗子|朝鲜族|2003-07-10|团员|231226200307100853|17843967772|
王瑞恩|男|王瑞恩|土家族|2015-08-28|群众|130435201508285097|17694862384|北京市
美丽中国|女|美丽中国|满族|1933-12-17|党员|340102193312174684|13238448482|
真的很博通|女|真的很博通|黎族|2009-01-23|群众|140109200901233136|17663886011|
游研社|女|游研社|彝族|1944-05-12|党员|130929194405128029|13115438359|
网易爱玩|女|网易爱玩|苗族|1970-05-30|团员|623000197005306739|15680952706|
龚子仪|男|龚子仪|布依族|1987-03-13|群众|411200198703136065|15744470065|北京
俞林鑫|男|俞林鑫|彝族|1991-12-19|党员|441426199112192051|17618722673|浙江杭州
vczh|男|vczh|苗族|2013-05-05|党员|620121201305053255|14721784286|西雅图（Seattle）
立党|男|立党|哈萨克族|2000-10-14|团员|120102200010141926|18982733279|
逍遥老李|男|逍遥老李|壮族|1973-01-22|群众|441284197301221265|14545442965|
天灵灵地灵灵|女|天灵灵地灵灵|土家族|1987-02-12|党员|431321198702122527|15295946691|
王鼎杰|男|王鼎杰|壮族|2006-04-27|团员|520402200604273812|13624810437|北京
Courier Six|男|Courier Six|哈萨克族|1973-02-12|群众|210811197302126615|14796164595|Pallet Town
吕小布007|男|吕小布007|土家族|1936-12-06|党员|451031193612067955|14726881996|
孙悦礼|男|孙悦礼|苗族|1957-01-25|团员|340500195701250984|13968000609|上海
越女|女|越女|汉族|1955-12-26|群众|441302195512265454|14593213957|北京
Dr.Zeng|男|Dr.Zeng|侗族|1945-09-16|党员|150207194509160442|15960125350|西班牙马德里
李小白|男|李小白|哈萨克族|1969-04-23|团员|350981196904231632|18437066324|东京
这位同学|男|这位同学|布依族|1937-01-06|群众|350628193701060018|17790957547|拉哥镇
陈不诌|男|陈不诌|苗族|2002-06-01|群众|350782200206015582|15364992420|北京市
刘茫|男|刘茫|土家族|1972-01-11|党员|330000197201117562|18890956301|深圳市
动机在杭州|男|动机在杭州|布依族|1997-06-21|党员|620422199706216222|14757182771|杭州
酒芯海棠|男|酒芯海棠|蒙古族|1999-11-15|党员|441602199911152128|18034652120|北京
名再道號直行|男|名再道號直行|回族|1973-06-19|群众|152501197306192683|17834498384|哈尔滨
弗雷刘|男|弗雷刘|侗族|2001-02-21|党员|450804200102215184|14782410542|帝都
aaa沈甜|女|aaa沈甜|满族|1968-02-19|群众|441423196802199100|14949134405|
李明|男|李明|土家族|1974-06-22|团员|410102197406229224|18756574066|
全民故事计划|女|全民故事计划|白族|1975-05-20|群众|43072319750520248X|14713696747|
MIKYOU MIKA|女|MIKYOU MIKA|苗族|2012-10-05|团员|632625201210057196|17881316027|上海
铿锵侠|男|铿锵侠|维吾尔族|2000-05-28|团员|130637200005286011|14934508455|北京
Ziyisme|女|Ziyisme|彝族|1940-04-30|群众|510129194004306530|18459962410|上海
离渊|女|离渊|苗族|1987-12-05|群众|130929198712051162|14545409004|
知乎电子书|女|知乎电子书|白族|1935-09-18|党员|360402193509186742|15561727095|
梓泉|男|梓泉|哈尼族|2007-05-28|团员|511323200705281446|18727148533|北京
张戎|男|张戎|白族|1946-08-16|党员|330483194608162735|18560431539|北京&丹佛
网易跟贴|男|网易跟贴|壮族|1956-04-01|党员|210281195604012469|13666669868|北京
陈六六的成长笔记|女|陈六六的成长笔记|苗族|1981-12-30|群众|440115198112300111|18264518477|南京
你说我喜欢钱|男|你说我喜欢钱|维吾尔族|1987-05-04|群众|32080019870504683X|15092496903|广州
东华君|男|东华君|汉族|1946-09-03|群众|370000194609033614|14529965814|华盛顿哥伦比亚特区（Washington, D.C.）
kknd|女|kknd|哈萨克族|2000-07-09|团员|654000200007097855|18376583112|
欧阳畅|男|欧阳畅|朝鲜族|2016-02-06|党员|469027201602068235|17137721733|湖北武汉
市瞳|女|市瞳|汉族|1939-04-03|团员|533422193904039419|18251521044|大蓝鲸
虫离先生|男|虫离先生|藏族|2005-01-20|党员|430811200501208002|13639427974|
毛猫|女|毛猫|壮族|1975-10-01|团员|511903197510017242|13954340452|
灿照|男|灿照|哈尼族|1933-10-31|团员|140728193310319797|15543902674|武汉某地的某张床上
邓柯|男|邓柯|朝鲜族|2008-01-25|党员|522300200801250090|15389454524|北京
徐腾飞|男|徐腾飞|侗族|1981-02-19|党员|610202198102192562|18396466731|成都
Sora|女|Sora|壮族|1980-09-09|团员|542334198009097907|15988383488|北京
in nek|男|in nek|蒙古族|2005-03-19|团员|210624200503197810|17274564867|
菠萝|女|菠萝|白族|1994-11-15|群众|320115199411159338|17732598679|
黄继新|男|黄继新|藏族|1952-11-10|团员|211281195211106772|14781344540|北京
木棉959|女|木棉959|侗族|1962-01-05|党员|220822196201055420|15019979836|北京市
华沙|男|华沙|维吾尔族|1950-05-25|团员|150721195005251948|14747474377|新加坡
张弓|男|张弓|侗族|2010-11-13|党员|530522201011139201|17196318285|森诺堡
张三|男|张三|维吾尔族|1958-06-05|党员|37070519580605809X|13893666612|
飞总|男|飞总|汉族|1971-01-17|群众|211321197101177578|17878905811|西雅图
马兆彬|男|马兆彬|彝族|1979-09-22|团员|450804197909223148|18737896390|上海
艹艹牙|女|艹艹牙|蒙古族|1951-03-17|团员|320500195103170243|13830715154|
商陆|男|商陆|维吾尔族|1994-11-17|党员|44010419941117996X|15758455372|上海
金融都会|女|金融都会|苗族|1981-10-15|团员|340604198110154901|17230312631|上海
一言不合就卖萌|男|一言不合就卖萌|彝族|1963-01-26|群众|141182196301260340|15865044595|加拿大
Jacob贾超|男|Jacob贾超|哈尼族|1984-10-10|党员|440881198410109616|18843055738|广州市
轻萌小说|女|轻萌小说|布依族|1953-08-07|团员|421281195308071704|18556382978|
孟凡康|男|孟凡康|满族|2014-10-09|团员|410421201410097695|13128538077|北京
Luther 弓|男|Luther 弓|维吾尔族|1933-08-04|团员|150122193308049717|15724495160|北京
王诺诺|女|王诺诺|白族|1980-01-19|党员|530924198001196392|14546197407|China
冻尼大木滕野老师|男|冻尼大木滕野老师|哈尼族|1939-05-05|团员|632825193905053128|18264206104|
Richard Liu|男|Richard Liu|彝族|2000-12-21|团员|513330200012219610|13175906395|旧金山湾区
腾天|男|腾天|苗族|1958-08-03|团员|130929195808034099|17346256518|伦敦
小黑老师|男|小黑老师|维吾尔族|1985-09-25|团员|611002198509258404|17119119779|深圳
笠猫|女|笠猫|白族|1992-01-15|群众|440307199201159610|15213922259|
M3小蘑菇|男|M3小蘑菇|黎族|2012-10-17|团员|34052120121017987X|14541766031|
明夷待訪|男|明夷待訪|土家族|2009-07-07|党员|500112200907072447|13259050368|甬
chenqin|男|chenqin|白族|1931-05-22|团员|131126193105222623|13487819944|
禹汐|女|禹汐|黎族|1934-02-09|群众|222405193402091356|18344029056|广州
回形针PaperClip|女|回形针PaperClip|蒙古族|1935-01-02|群众|230624193501023711|15747696941|
黑森林慕斯|男|黑森林慕斯|彝族|2010-09-25|团员|350783201009256505|13069727894|北京
老八|男|老八|蒙古族|1982-04-20|团员|654000198204201463|15188951636|北京朝阳
霸王龙的小爪爪|女|霸王龙的小爪爪|朝鲜族|2005-01-30|群众|370522200501300382|17354255922|
陈琳楠|男|陈琳楠|藏族|1954-06-10|团员|511028195406107407|18724004201|广州
鸡糟的黄医桑|男|鸡糟的黄医桑|黎族|1940-12-07|群众|231085194012072606|13320086420|上海市
什么值得买|女|什么值得买|黎族|1986-04-16|党员|320612198604162975|14540242085|
醉月不知诗仙酌|男|醉月不知诗仙酌|壮族|1940-08-11|团员|140827194008118795|13423555480|
刘昊然|女|刘昊然|侗族|1974-06-25|党员|500103197406259333|13296394017|
Xu Johnny|男|Xu Johnny|满族|1958-07-01|群众|451224195807014083|13825574189|
风君|男|风君|朝鲜族|1954-11-18|党员|530624195411180342|18455039196|东京
Russell|男|Russell|瑶族|1945-11-13|团员|654202194511130066|17792503897|
菠菜|女|菠菜|布依族|1982-01-03|党员|520624198201038905|14915138962|
方可|男|方可|回族|1984-05-23|团员|350902198405235640|13362532814|
胡晗|男|胡晗|苗族|1943-04-16|团员|530524194304165251|15587971784|成都
葛巾|女|葛巾|侗族|1967-04-07|团员|43011219670407690X|13944990413|密克罗尼西亚联邦
cn iris|女|cn iris|哈尼族|1951-01-31|群众|520113195101319275|18883603782|
海老|女|海老|土家族|1947-02-27|群众|632622194702276000|13624583505|
只要你微笑|女|只要你微笑|哈萨克族|1990-05-28|团员|431226199005288610|17621394701|
阿祥|男|阿祥|哈尼族|1953-10-23|团员|360829195310231826|17633222848|上海
知士建工|女|知士建工|土家族|2016-12-29|群众|512021201612291393|18956489189|
段子介|男|段子介|汉族|1945-08-25|党员|320830194508258534|15961171953|
朱凌|女|朱凌|回族|1970-09-19|团员|231005197009197274|14940653978|
李明殊|男|李明殊|藏族|2016-01-23|党员|530302201601233322|13027140103|北京
赵思家|女|赵思家|黎族|1999-05-31|团员|441723199905313375|14789703916|伦敦（Greater London）
张佳玮|男|张佳玮|蒙古族|1955-07-09|党员|230502195507099966|13158002470|
我是你的比卡丘|女|我是你的比卡丘|土家族|1942-08-11|群众|542300194208117200|17372536488|广东省
张三|男|张三|蒙古族|1970-10-01|党员|421182197010017422|17696019500|
范圈圈|女|范圈圈|侗族|1981-01-24|群众|320903198101249198|18237423476|北京
鲁小奇|男|鲁小奇|瑶族|1988-08-28|群众|331181198808285203|13530528150|深圳市
万金油|男|万金油|朝鲜族|1951-06-23|党员|371622195106237347|14724058882|北京
张译|男|张译|蒙古族|2000-02-21|党员|220822200002211880|13466063274|禅达
飛毛腿岡薩雷斯|男|飛毛腿岡薩雷斯|藏族|1934-11-30|群众|220282193411309476|14738591655|
叶盛|男|叶盛|蒙古族|2006-10-28|群众|130726200610288142|13913080672|北京
洛和谐|男|洛和谐|满族|1988-01-27|党员|32010419880127766X|14516782178|上海
李煜|男|李煜|蒙古族|2003-03-29|党员|360733200303295920|13072632810|江苏徐州
蔡澜|男|蔡澜|蒙古族|1977-09-05|群众|361026197709050514|18886477570|香港
车路|男|车路|布依族|2012-12-08|党员|320684201212083123|14972809029|北京
李雷|男|李雷|满族|1933-10-24|党员|130500193310243017|17794864461|北京
talich|男|talich|瑶族|1933-12-07|群众|451425193312075448|17685380043|德州，美国
初用九|男|初用九|哈萨克族|1970-05-05|群众|150925197005054261|15522311795|上海
谭姑娘|男|谭姑娘|彝族|1958-08-13|党员|15222119580813124X|15249702297|
nbht|男|nbht|哈尼族|1938-10-18|群众|360425193810189963|14527106787|上海
客初|男|客初|白族|1959-09-06|团员|230124195909064295|13146064534|北京
神经内科余医生|男|神经内科余医生|彝族|1995-12-14|党员|450223199512148384|14973700595|深圳市
渤海小吏|女|渤海小吏|汉族|1995-01-14|群众|451281199501142790|17874016150|天津市
颇牧卫霍|男|颇牧卫霍|布依族|1999-08-19|群众|42112119990819996X|15048696834|美国
江泓|男|江泓|瑶族|1980-12-25|群众|23070219801225990X|14749113200|山东
红烧大排|男|红烧大排|布依族|1993-07-28|群众|130600199307287345|13945009311|北京
竹蜻蜓|女|竹蜻蜓|布依族|1950-05-19|群众|542424195005194063|17622576950|名古屋
楠爷|男|楠爷|黎族|2009-02-10|团员|340824200902109638|15685205715|南京
春日阳光|男|春日阳光|藏族|1991-09-05|群众|440204199109056542|13985747966|上海
吉蕾Camille|女|吉蕾Camille|苗族|1935-08-31|党员|34070219350831571X|13222791352|纽约
EHOME电子竞技俱乐部|女|EHOME电子竞技俱乐部|哈尼族|1986-04-16|群众|21068219860416208X|17850847062|
喜多|女|喜多|土家族|1978-10-20|团员|12010119781020260X|17336815005|
军事作家陈曦|女|军事作家陈曦|苗族|1984-07-23|群众|230102198407233197|13892071662|
王小七|男|王小七|蒙古族|1972-04-07|党员|340700197204072670|17379199853|北京市
张三|男|张三|布依族|1971-09-30|党员|422826197109304737|18494552253|
爱笑的嬉皮|女|爱笑的嬉皮|维吾尔族|1998-02-07|群众|620300199802072464|13573768338|
zecy|男|zecy|白族|2006-06-28|党员|360200200606288678|14970098575|
